"URL","Title#1","Alternative Title#1","Alternative Title#2","Alternative Title#3","Alternative Title#4","Alternative Title#5","Alternative Title#6","Alternative Title#7","Creator#1","Creator URI#1","Creator#2","Creator URI#2","Creator#3","Creator URI#3","Creator#4","Creator URI#4","Subject#1","Subject URI#1","Subject#2","Subject URI#2","Subject#3","Subject URI#3","Subject#4","Subject URI#4","Subject#5","Subject URI#5","Description#1","Publisher#1","Date#1","Resource Type#1","Resource Type URI#1","Form#1","Form URI#1","Form#2","Physical Item Location#1","Source#1","Digitization Specifications#1","Digital Conversion Date#1","Language Term#1","Language Term URI#1","Language Term Type#1","Duration#1","File Size#1","Coverage#1","Coverage URI#1","FileImage#1","FileMedia#1","FileID#2","Identifier ARK#1","Rights#1","Rights URI#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"","[She'll Be Coming 'Round the Mountain]","","","","","","","","Whitter, Henry, 1892-1941","http://id.worldcat.org/fast/1802817","","","","","","","Folk songs, English -- Colorado","local","Field recordings -- Colorado","local","Folk music -- Colorado","Folk music -- Colorado","Play-party","http://id.worldcat.org/fast/1066980","","","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","[1950s/1970s]","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","field recordings","http://vocab.getty.edu/page/aat/300265794","audio/mp3","Ben Gray Lumpkin Collection","Field recording, reel-to-reel tape, recorded 8/1/1963","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","2006-02-28","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1:54","2,678 kilobytes","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","UCB01715.jpg","UCB01715.mp3","UCB01715","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","353051","4906","UCB01715.mp3","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~25~25~353051~296203"
"","[They Cut Down the Old Pine Tree]","","","","","","","","[Hill, Billy, 1899-1940]","http://id.worldcat.org/fast/249140","","","","","","","Folk songs, English -- Colorado","local","Field recordings -- Colorado","local","Folk music -- Colorado","local","Popular music--1901-1910","http://id.loc.gov/authorities/subjects/sh87003299","","","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","[1950s/1970s]","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","field recordings","http://vocab.getty.edu/page/aat/300265794","audio/mp3","Ben Gray Lumpkin Collection","Field recording, reel-to-reel tape, recorded 7/8/1964","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","2006-02-28","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","3:04","4,332 kilobytes","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","UCB09113.jpg","UCB09113.mp3","UCB09113","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","353050","4906","UCB09113.mp3","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~25~25~353050~296202"
"","After the Ball Is Over","","","","","","","","Greer, Beulah;performer","local","Harris, Chas. K. (Charles Kassell), 1867-1930;composer","http://id.loc.gov/authorities/names/n95113860","","","","","Folk songs, English -- Colorado","local","Field recordings -- Colorado","local","Folk music -- Colorado","local","Popular music--1901-1910","http://id.loc.gov/authorities/subjects/sh87003299","","","Popular song 1892","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","1964-07-08","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","field recordings","http://vocab.getty.edu/page/aat/300265794","audio/mp3","Ben Gray Lumpkin Collection, Box 7 Tape 159 Track 11","Field recording, reel-to-reel tape, recorded 7/8/1964","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","2006-02-28","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","0:31","761,104 bytes","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","UCB15911.jpg","UCB15911.mp3","UCB15911","https://ark.colorado.edu/ark:/47540/wh9m9f48x7r8","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","351003","4759","UCB15911.mp3|UCB15911.jpg",""
"","All Around the Mulberry Bush (fragment)","","","","","","","","Martin, William;performer","local","","","","","","","Folk songs, English -- Colorado","local","Field recordings -- Colorado","local","Folk music -- Colorado","local","Play-party","http://id.worldcat.org/fast/1066980","","","Play Party Song","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","1963-08-01","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","field recordings","http://vocab.getty.edu/page/aat/300265794","audio/mp3","Ben Gray Lumpkin Collection, Box 6 Tape 130 Track 01","Field recording, reel-to-reel tape, recorded 8/1/1963","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","2006-02-28","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","0:20","487,131 bytes","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","UCB13001.jpg","UCB13001.mp3","UCB13001","https://ark.colorado.edu/ark:/47540/rh415q70t73g","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","349650","4759","UCB13001.jpg|UCB13001.jpg",""
"","All Upon a Washing Day","","","","","","","","Hutchins, Emma;performer","local","","","","","","","Folk songs, English -- Colorado","local","Field recordings -- Colorado","local","Humorous songs","http://id.worldcat.org/fast/963815","Folk music -- Colorado","local","","","Comic song","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","1961-11-01","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","field recordings","http://vocab.getty.edu/page/aat/300265794","audio/mp3","Ben Gray Lumpkin Collection, Box 3 Tape 055 Track 11","Field recording, reel-to-reel tape, recorded 11/1/1961","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","2006-02-28","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","3:02","4,391,079 bytes","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","UCB05511.jpg","UCB05511.mp3","UCB05511","https://ark.colorado.edu/ark:/47540/5t4v0m9103cf","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","347122","4759","UCB05511.jpg|UCB05511.jpg",""
"","And So You Have Come Back to Me","Too Late","Lover's Return","Farewell, I Think I Love You Still","","","","","Peyton, James Baxter;performer","local","","","","","","","Folk songs, English -- Colorado","local","Field recordings -- Colorado","local","Folk music -- Colorado","local","Popular music--1911-1920","http://id.loc.gov/authorities/subjects/sh87003300","","","Popular Song 1860","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","1962-12-01","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","field recordings","http://vocab.getty.edu/page/aat/300265794","audio/mp3","Ben Gray Lumpkin Collection, Box 5 Tape 102 Track 07","Field recording, reel-to-reel tape, recorded 12/1/1962","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","2006-02-28","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","3:22","4,870,687 bytes","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","UCB10207.jpg","UCB10207.mp3","UCB10207","https://ark.colorado.edu/ark:/47540/wp0d3f82m44j","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","350502","4759","UCB10207.jpg|UCb10207.jpg",""
"","And So You Have Come Back to Me (fragment)","Too Late","Lover's Return","Farewell, I Think I Love You Still","","","","","Martin, Martha;performer","local","","","","","","","Folk songs, English -- Colorado","local","Field recordings -- Colorado","local","Folk music -- Colorado","local","Popular music--1911-1920","http://id.loc.gov/authorities/subjects/sh87003300","","","Popular Song 1860","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","1963-12-26","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","field recordings","http://vocab.getty.edu/page/aat/300265794","audio/mp3","Ben Gray Lumpkin Collection, Box 3 Tape 137 Track 11","","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","2006-02-28","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","0:21","525,375 bytes","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","UCB13712.jpg","UCB13712.mp3","UCB13712","https://ark.colorado.edu/ark:/47540/nc9p1151b17b","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","350517","4759","UCB13712.mp3|UCB13712.jpg",""
"","Anna Lee","Jealousy","Saucy Anna Lee","","","","","","Meyers, Foster;performer","local","","","","","","","Folk songs, English -- Colorado","local","Field recordings -- Colorado","local","Folk music -- Colorado","local","","","","","Popular Song","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","1963-08-01","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","field recordings","http://vocab.getty.edu/page/aat/300265794","audio/mp3","Ben Gray Lumpkin Collection, Box 6 Tape 130 Track 39","Field recording, reel-to-reel tape, recorded 8/1/1963","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","2006-02-28","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","3:45","5,401,078 bytes","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","UCB13039.jpg","UCB13039.mp3","UCB13039","https://ark.colorado.edu/ark:/47540/s58c654769f3","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","350102","4759","UCB13039.mp3|UCB13039.jpg",""
"","Answer to Sod Shanty","","","","","","","","Hutchins, Emma;performer","local","","","","","","","Folk songs, English -- Colorado","local","Field recordings -- Colorado","local","Folk music -- Colorado","local","","","","","Popular Song","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","1965-05-22","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","field recordings","http://vocab.getty.edu/page/aat/300265794","audio/mp3","Ben Gray Lumpkin Collection, Box 7 Tape 169 Track 06","Field recording, reel-to-reel tape, recorded 5/22/1965","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","2006-02-28","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","4:24","6,352,144 bytes","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","UCB16906.jpg","UCB16906.mp3","UCB16906","https://ark.colorado.edu/ark:/47540/5d8q9c62v7ng","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","350223","4759","UCB16906.jpg|UCB16906.jpg",""
"","Answer to the Answer to Sod Shanty","","","","","","","","Hutchins, Emma;performer","local","","","","","","","Folk songs, English -- Colorado","local","Field recordings -- Colorado","local","Folk music -- Colorado","local","","","","","Popular Song","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","1965-05-22","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","field recordings","http://vocab.getty.edu/page/aat/300265794","audio/mp3","Ben Gray Lumpkin Collection, Box 7 Tape 169 Track 07","Field recording, reel-to-reel tape, recorded 5/22/1965","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","2006-02-28","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","3:31","5,075,696 bytes","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","UCB16907.jpg","UCB16907.mp3","UCB16907","https://ark.colorado.edu/ark:/47540/xw7q0g741977","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","350235","4759","UCB16907.jpg|UCB16907.jpg",""
"","Answer to the Gypsy's Warning","","","","","","","","Peyton, James Baxter;performer","local","","","","","","","Folk songs, English -- Colorado","local","Field recordings -- Colorado","local","Folk music -- Colorado","local","","","","","Popular Song","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","1962-12-17","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","field recordings","http://vocab.getty.edu/page/aat/300265794","audio/mp3","Ben Gray Lumpkin Collection, Box 5 Tape 107 Track 19","Field recording, reel-to-reel tape, recorded 12/17/1962","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","2006-02-28","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","3:19","4,786,051 bytes","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","UCB10719.jpg","UCB10719.mp3","UCB10719","https://ark.colorado.edu/ark:/47540/2j383987s6b5","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","350030","4759","UCB10719.jpg|UCB10719.jpg",""
"","Are you from Dixie?","Dixie","","","","","","","Meyers, Frank;performer","local","Yellen, Jack, 1892-1991;composer","http://id.loc.gov/authorities/names/n85248157","","","","","Folk songs, English -- Colorado","local","Field recordings -- Colorado","local","Folk music -- Colorado","local","","","","","Popular Song 1915","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","1954-03-01","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","field recordings","http://vocab.getty.edu/page/aat/300265794","audio/mp3","Ben Gray Lumpkin Collection, Box 2 Tape 026 Track 08","Field recording, reel-to-reel tape, recorded 3/1/1954","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","2006-02-28","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1:08","1,650,730 bytes","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","UCB02608.jpg","UCB02608.mp3","UCB02608","https://ark.colorado.edu/ark:/47540/sw8c1731d5ds","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","351865","4759","UCB02608.jpg|UCB02608.jpg",""
"","Arkansas Traveler","","","","","","","","Craig, Sam;performer","local","Gonzales, Violet;performer","local","Gonzales, Tony;performer","local","","","Field recordings -- Colorado","local","Fiddle tunes","http://id.loc.gov/authorities/subjects/sh85048074","Folk music -- Colorado","local","","","","","Fiddle Tune","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","1952-08-10","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","field recordings","http://vocab.getty.edu/page/aat/300265794","audio/mp3","Ben Gray Lumpkin Collection, Box 1 Tape 017 Track 09","Field recording, reel-to-reel tape, recorded 8/10/1952","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","2006-02-28","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","2:15","3,256,320 bytes","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","UCB01709.jpg","UCB01709.mp3","UCB01709","https://ark.colorado.edu/ark:/47540/ms6j1p71t0nk","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","348092","4759","UCB01709.jpg|UCB01709.jpg",""
"","Arkansas Traveler (fragment)","","","","","","","","Child;performer","local","","","","","","","Folk songs, English -- Colorado","local","Field recordings -- Colorado","local","Folk music -- Colorado","local","","","","","Tune is Arkansas Traveler","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","1963-08-01","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","field recordings","http://vocab.getty.edu/page/aat/300265794","audio/mp3","Ben Gray Lumpkin Collection, Box Tape 130 Track 16","Field recording, reel-to-reel tape, recorded 8/1/1963","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","2006-02-28","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","0:22","536,660 bytes","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","UCB13016.jpg","UCB13016.mp3","UCB13016","https://ark.colorado.edu/ark:/47540/jm9d1w04t8b6","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","353025","4759","UCB13016.jpg|UCB13016.jpg",""
"","Arrah Wanna","Arrawana","","","","","","","Rice, John;performer","local","Morse, Theodore F., 1873-1924;composer","http://id.loc.gov/authorities/names/no93019754","","","","","Folk songs, English -- Colorado","local","Field recordings -- Colorado","local","Folk music -- Colorado","local","","","","","Popular Song 1906","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","1963-08-01","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","field recordings","http://vocab.getty.edu/page/aat/300265794","audio/mp3","Ben Gray Lumpkin Collection, Box 6 Tape 130 Track 48","Field recording, reel-to-reel tape, recorded 8/1/1963","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","2006-02-28","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1:48","2,601,169 bytes","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","UCB13048.jpg","UCB13048.mp3","UCB13048","https://ark.colorado.edu/ark:/47540/2p6f457398fw","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","351580","4759","UCB13048.mp3|UCB13048.jpg",""
"","At a Georgia Camp Meeting","","","","","","","","Conilogue, Rachel;performer","local","Mills, Kerry, 1869-1948;composer","http://id.loc.gov/authorities/names/no92013229","Conilogue, C.E.;performer","local","","","Folk songs, English -- Colorado","local","Field recordings -- Colorado","local","Popular music -- To 1901","http://id.loc.gov/authorities/subjects/sh87003298","Fiddle tunes","http://id.worldcat.org/fast/923786","Folk music -- Colorado","local","Fiddle Tune","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","1963-04-10","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","field recordings","http://vocab.getty.edu/page/aat/300265794","audio/mp3","Ben Gray Lumpkin Collection, Box 5 Tape 118 Track 12","Field recording, reel-to-reel tape, recorded 4/10/1963","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","2006-02-28","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","2:01","2,928,431 bytes","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","UCB11812.jpg","UCB11812.mp3","UCB11812","https://ark.colorado.edu/ark:/47540/kw037v70m5k5","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","352000","4759","UCB11812.jpg|UCB11812.jpg",""
"","Babes In the Woods","","","","","","","","Greer, Beulah;performer","local","","","","","","","Folk songs, English -- Colorado","local","Field recordings -- Colorado","local","Ballads, English -- Colorado","local","Folk music -- Colorado","local","","","Traditional Ballad","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","1964-07-08","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","field recordings","http://vocab.getty.edu/page/aat/300265794","audio/mp3","Ben Gray Lumpkin Collection, Box 7 Tape 159 Track 06","Field recording, reel-to-reel tape, recorded 7/8/1964","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","2006-02-28","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1:13","1,764,833 bytes","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","UCB15906.jpg","UCB15906.mp3","UCB15906","https://ark.colorado.edu/ark:/47540/pf8n7840f5h5","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","352521","4759","UCB15906.mp3|UCB15906.jpg",""
"","Babes In the Woods","","","","","","","","Hull, Lois;performer","local","Cook, Hazel;performer","http://id.loc.gov/authorities/names/n85195383","","","","","Folk songs, English -- Colorado","local","Field recordings -- Colorado","local","Ballads, English -- Colorado","local","Folk music -- Colorado","local","","","Traditional Ballad","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","1952-12-29","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","field recordings","http://vocab.getty.edu/page/aat/300265794","audio/mp3","Ben Gray Lumpkin Collection, Box 1 Tape 005 Track 28","Field recording, reel-to-reel tape, recorded 12/29/1952","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","2006-02-28","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1:31","2,206,824 bytes","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","UCB00528.jpg","UCB00528.mp3","UCB00528","https://ark.colorado.edu/ark:/47540/vw956906n18c","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","352494","4759","UCB00528.jpg|UCB00528.jpg",""
"","Babes in the Woods","","","","","","","","Hutchins, Emma;performer","local","","","","","","","Folk songs, English -- Colorado","local","Field recordings -- Colorado","local","Ballads, English -- Colorado","local","Folk music -- Colorado","local","","","Traditional Ballad","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","1961-11-01","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","field recordings","http://vocab.getty.edu/page/aat/300265794","audio/mp3","Ben Gray Lumpkin Collection, Box 3 Tape 054 Track 14","Field recording, reel-to-reel tape, recorded 11/1/1961","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","2006-02-28","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","0:58","1,396,820 bytes","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","UCB05414.jpg","UCB05414.mp3","UCB05414","https://ark.colorado.edu/ark:/47540/hd6x1s97z7h7","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","352508","4759","UCB05414.jpg|UCB05414.jpg",""
